Accel Ped. Pos. (%),RPM (rpm),Boost deviation (PSI),Rail pressure dev. (MPa),Total Negative Timing Correction,IAT (*C),Health Score
100.0,2314,12.5,-0.23,0.0,38,60
100.0,2351,12.1,-0.18,0.0,38,60
100.0,2428,10.7,-0.21,0.0,38,60
100.0,2470,10.1,-0.06,0.0,38,60
100.0,2534,8.9,0.02,0.0,38,60
100.0,2572,8.0,-0.08,0.0,38,60
100.0,2600,6.7,0.01,0.0,38,60
100.0,2642,5.7,0.04,0.0,38,60
100.0,2702,4.2,-0.1,0.0,38,60
100.0,2730,3.1,-0.32,0.0,38,60
100.0,2786,1.5,-0.04,0.0,38,60
100.0,2872,0.6,-0.09,0.0,38,60
100.0,2965,-0.6,-0.61,0.0,38,60
100.0,3038,-0.9,-0.9,0.0,38,60
100.0,3156,-0.9,-1.2,0.0,38,60
100.0,3222,-1.0,-1.29,0.0,38,60
100.0,3372,-0.9,-1.56,0.0,37,60
100.0,3470,-0.9,-1.81,0.0,37,60
100.0,3476,-0.8,-2.71,0.0,37,60
100.0,3520,-1.3,-3.42,0.0,37,60
100.0,3506,-1.3,-4.04,0.0,37,60
100.0,3594,-0.9,-3.96,0.0,37,60
100.0,3700,-0.6,-4.53,0.0,37,60
100.0,3676,-0.7,-4.46,0.0,37,60
100.0,3620,-1.0,-5.03,0.0,37,60
100.0,3574,-1.3,-4.92,0.0,37,60
100.0,3623,-1.9,-5.67,0.0,37,60
100.0,3724,-1.7,-5.32,0.0,36,60
100.0,3812,-1.2,-4.97,0.0,36,60
100.0,3796,-0.6,-4.98,0.0,36,60
100.0,3808,-0.5,-4.4,0.0,36,60
100.0,3806,-0.7,-4.44,0.0,36,60
100.0,3816,-0.9,-4.36,0.0,36,60
100.0,3860,-1.1,-4.47,0.0,36,60
100.0,3933,-1.5,-4.35,0.0,36,60
100.0,4058,-1.5,-4.2,0.0,36,60
100.0,4122,-0.6,-2.79,0.0,36,60
100.0,4167,-0.4,-2.49,0.0,36,60
100.0,4146,-0.4,-2.23,0.0,36,60
100.0,4167,-0.5,-2.04,0.0,36,60
100.0,4229,-0.5,-1.57,0.0,36,60
100.0,4270,-0.4,-1.43,0.0,36,60
100.0,4390,-0.3,0.72,0.0,36,60
100.0,4362,-0.2,-0.51,0.0,36,60
100.0,4390,-0.2,0.59,0.0,36,60
100.0,4372,-0.1,-0.29,0.0,36,60
100.0,4435,-0.2,-0.02,0.0,36,60
100.0,4478,-0.2,0.11,0.0,36,60
100.0,4520,-0.2,-0.17,0.0,36,60
100.0,4618,-0.4,0.02,0.0,36,60
100.0,4604,-0.6,-0.11,0.0,36,60
100.0,4668,-0.6,-0.26,0.0,36,60
100.0,4684,-0.7,-0.51,0.0,36,60
100.0,4718,-0.7,-0.35,0.0,36,60
100.0,4762,-0.7,-0.31,0.0,36,60
100.0,4764,-0.6,-0.2,0.0,36,60
100.0,4804,-0.7,-0.46,0.0,36,60
100.0,4861,-0.7,-0.45,0.0,36,60
100.0,4958,-0.6,-0.27,0.0,36,60
100.0,4950,-0.4,-0.48,0.0,36,60
100.0,4960,-0.3,-0.51,0.0,36,60
100.0,4988,-0.2,-0.09,0.0,37,60
100.0,5026,-0.1,-0.36,0.0,37,60
100.0,5055,-0.1,-0.34,0.0,37,60
100.0,5107,-0.1,-0.3,0.0,37,60
100.0,5142,0.0,-0.11,0.0,37,60
100.0,5154,0.1,-0.16,0.0,37,60
100.0,5188,0.2,-0.16,0.0,37,60
100.0,5226,0.2,-0.29,0.0,37,60
100.0,5294,0.2,-0.06,0.0,37,60
100.0,5299,0.3,0.17,0.0,37,60
100.0,5292,0.3,-0.05,0.0,37,60
100.0,5327,0.4,-0.11,0.0,38,60
100.0,5406,0.3,-0.11,0.0,38,60
100.0,5464,0.4,0.06,0.0,38,60
100.0,5572,0.3,0.15,0.0,38,60
100.0,5566,0.4,0.09,0.0,38,60
100.0,5534,0.6,0.08,0.0,38,60
100.0,5582,0.5,0.09,0.0,38,60
100.0,5598,0.5,-0.15,0.0,38,60
100.0,5644,0.6,-0.11,0.0,38,60
100.0,5664,0.6,0.21,0.0,38,60
100.0,5667,0.6,0.12,0.0,38,60
100.0,5828,0.8,0.0,0.0,38,60
100.0,5802,0.9,0.09,0.0,38,60
100.0,5812,0.8,0.04,0.0,38,60
100.0,5870,0.7,-0.13,0.0,39,60
100.0,5978,0.7,-0.06,0.0,39,60
100.0,5972,0.8,0.06,0.0,39,60
100.0,6009,0.8,-0.04,0.0,39,60
100.0,6051,0.8,-0.26,0.0,39,60
100.0,6125,0.8,-0.27,0.0,40,60
100.0,6104,0.9,-0.02,0.0,40,60
100.0,6138,0.8,0.16,0.0,40,60
100.0,6176,0.9,-0.06,0.0,40,60
100.0,6199,0.9,-0.08,0.0,40,60
100.0,6208,0.9,-0.1,0.0,40,60
100.0,6283,0.9,-0.03,0.0,40,60
100.0,6312,0.9,0.13,0.0,40,60
100.0,6298,0.9,0.14,0.0,40,60
100.0,6350,0.9,-0.05,0.0,40,60
100.0,6358,1.0,0.09,0.0,40,60
100.0,6387,1.0,-0.01,0.0,40,60
100.0,6476,1.0,0.0,0.0,41,60
100.0,6480,1.0,0.01,0.0,41,60
100.0,6529,1.0,0.06,0.0,41,60
100.0,6538,1.0,0.02,0.0,41,60
100.0,6578,1.0,0.01,0.0,41,60
100.0,6594,1.0,-0.11,0.0,41,60
100.0,6616,1.1,-0.12,0.0,41,60
100.0,6633,1.0,0.0,0.0,41,60
100.0,6698,1.1,0.2,0.0,42,60
100.0,6682,1.1,0.16,0.0,42,60
100.0,6726,1.1,0.17,0.0,42,60
100.0,6736,1.1,0.15,0.0,42,60
100.0,6731,1.0,0.16,0.0,42,60
100.0,6790,1.1,0.28,0.0,42,60
100.0,6776,0.9,-0.19,0.0,42,60
