RPM (rpm),Boost deviation (PSI),Rail pressure dev. (MPa),Total Negative Timing Correction,IAT (*C),Health Score
2304,4.7,-0.02,-1.5,31,80
2332,4.1,-0.3,-1.5,31,80
2438,2.5,-0.09,-1.5,31,80
2502,1.5,-0.09,-1.5,30,80
2650,0.5,-0.03,-1.5,30,80
2812,0.3,-0.21,-1.5,30,80
2985,0.3,0.29,-1.5,30,80
3172,0.0,0.49,-1.5,30,80
3365,-0.8,0.47,-1.5,30,80
3554,-1.3,0.91,-1.5,30,80
3525,-1.5,0.65,-1.5,30,80
3719,-1.4,0.74,-1.5,30,80
3600,-0.9,0.58,-1.2,30,80
3447,-1.3,0.76,-1.2,29,80
3443,-1.9,0.99,-1.2,29,80
3356,-1.3,0.75,-1.2,29,80
3307,-0.5,0.05,-1.2,29,80
3427,0.3,-0.5,-0.8999999999999999,29,80
3478,0.7,-0.65,-0.8999999999999999,29,80
3534,0.8,-0.38,-0.8999999999999999,29,80
3594,0.6,-0.31,-0.8999999999999999,29,80
3630,0.4,-0.45,-0.8999999999999999,29,80
3686,0.1,-0.02,-0.6,29,80
3831,-0.8,0.32,-0.6,29,80
3883,-1.1,0.41,-0.6,29,80
3933,-1.9,0.34,-0.6,29,80
3957,-2.2,-0.06,-0.6,29,80
4038,-1.7,0.11,-0.6,29,80
4091,-1.3,-0.07,-0.3,29,80
4255,-0.7,0.12,-0.3,29,80
4308,-0.7,0.06,-0.3,29,80
4380,-0.7,-0.01,-0.3,29,80
4366,-0.5,-0.15,-0.3,29,80
4437,-0.4,0.04,0.0,29,80
4573,0.0,-0.15,0.0,30,80
4563,0.3,-0.45,0.0,30,80
4691,0.2,-0.19,0.0,30,80
4743,-0.3,-0.22,0.0,30,80
4842,-0.7,-0.17,0.0,30,80
4845,-0.6,-0.1,0.0,30,80
4980,-0.5,-0.38,0.0,31,80
5017,-0.4,-0.11,0.0,31,80
5019,-0.2,-0.35,0.0,31,80
5110,-0.1,-0.15,0.0,31,80
5161,0.0,-0.05,0.0,31,80
5213,0.2,0.13,0.0,32,80
5262,0.2,0.1,0.0,32,80
5301,0.2,0.04,0.0,32,80
5350,0.3,0.13,0.0,32,80
5400,0.3,0.01,0.0,32,80
5414,0.4,0.03,0.0,32,80
5459,0.3,0.07,0.0,32,80
5534,0.3,0.13,0.0,32,80
5617,0.4,-0.08,0.0,32,80
5604,0.4,-0.06,0.0,33,80
5642,0.4,0.1,0.0,33,80
5729,0.6,0.02,0.0,33,80
5813,0.6,0.0,0.0,33,80
5812,0.6,-0.22,0.0,34,80
5872,0.6,0.06,0.0,34,80
5869,0.6,-0.06,0.0,34,80
5923,0.7,-0.12,0.0,34,80
5952,0.6,-0.07,0.0,34,80
6026,0.6,-0.02,0.0,34,80
6074,0.7,-0.12,0.0,34,80
6050,0.7,-0.01,0.0,34,80
6067,0.7,0.07,0.0,34,80
6132,0.7,0.06,0.0,34,80
6181,0.7,0.13,0.0,35,80
6237,0.7,0.18,0.0,35,80
6319,0.8,-0.14,0.0,35,80
6310,0.8,-0.12,0.0,36,80
6337,0.8,0.02,0.0,36,80
6357,0.8,0.16,0.0,36,80
6450,0.9,-0.06,0.0,36,80
6461,0.9,-0.01,0.0,37,80
6451,0.9,-0.14,0.0,37,80
6527,0.8,0.18,0.0,37,80
6548,0.9,0.0,0.0,37,80
6580,0.9,0.29,0.0,37,80
6613,0.9,-0.07,0.0,38,80
6617,0.9,-0.23,0.0,38,80
6665,0.8,0.13,0.0,38,80
6714,0.9,-0.15,0.0,38,80
6741,0.8,0.01,0.0,38,80
6772,0.8,0.36,0.0,38,80
6800,0.8,-0.03,0.0,38,80
