Vehicle_Model,Mileage,Maintenance_History,Reported_Issues,Vehicle_Age,Fuel_Type,Transmission_Type,Engine_Size,Odometer_Reading,Last_Service_Date,Warranty_Expiry_Date,Owner_Type,Insurance_Premium,Service_History,Accident_History,Fuel_Efficiency,Tire_Condition,Brake_Condition,Battery_Status,Need_Maintenance
Truck,58765,Good,0,4,Electric,Automatic,2000,28524,2023-11-23,2025-06-24,Second,20782,6,3,13.622203799218738,New,New,Weak,1
Van,60353,Average,1,7,Electric,Automatic,2500,133630,2023-09-21,2025-06-04,Second,23489,7,0,13.625306851087116,New,New,Weak,1
Bus,68072,Poor,0,2,Electric,Automatic,1500,34022,2023-06-27,2025-04-27,First,17979,7,0,14.306302358933323,New,Good,Weak,1
Bus,60849,Average,4,5,Petrol,Automatic,2500,81636,2023-08-24,2025-11-05,Second,6220,7,3,18.70946666159111,New,Worn Out,New,1
Bus,45742,Poor,5,1,Petrol,Manual,2000,97162,2023-05-25,2025-09-14,Third,16446,6,2,16.977482496741302,Good,Good,Weak,1
Truck,31653,Average,2,1,Diesel,Automatic,800,70954,2023-08-12,2024-09-05,Third,16813,5,3,15.954422058940413,Worn Out,Good,New,0
Motorcycle,51211,Average,2,8,Diesel,Automatic,2500,145563,2024-01-13,2025-07-20,Second,21057,10,0,16.455703179594124,New,Good,New,0
Van,79093,Poor,2,2,Petrol,Automatic,2000,132354,2023-05-12,2026-02-13,First,6498,3,1,12.128403743453017,Good,New,New,1
SUV,59673,Good,2,6,Electric,Manual,800,85733,2023-04-07,2025-04-21,First,12787,9,1,11.558026772712033,Worn Out,Good,Weak,1
Bus,37001,Good,2,9,Diesel,Automatic,1500,8554,2023-08-05,2025-05-14,Third,20860,9,1,12.78724817721793,Worn Out,New,New,0
Bus,49494,Average,5,10,Electric,Automatic,1000,51817,2023-11-08,2024-10-31,Third,27415,5,1,15.544371498504372,New,New,New,1
Car,71128,Poor,3,4,Petrol,Automatic,1000,35751,2023-07-03,2025-01-23,First,24050,6,1,16.38821978073295,Worn Out,New,Weak,1
Bus,61711,Poor,4,8,Petrol,Automatic,2000,118508,2024-02-19,2025-09-17,Third,11946,10,0,13.925943354074256,Worn Out,New,Weak,1
Car,37517,Good,4,3,Petrol,Manual,2500,64195,2023-04-11,2025-04-27,Third,25766,3,1,11.613510563693447,New,New,Good,1
Car,51152,Poor,5,6,Diesel,Manual,2500,36403,2023-05-07,2025-05-20,Second,22592,8,2,16.33998023040846,Worn Out,Good,New,1
SUV,61396,Poor,5,1,Petrol,Manual,1500,80856,2023-09-17,2025-10-03,Third,10096,4,3,10.072711963951075,Good,Worn Out,Weak,1
Bus,64440,Poor,0,7,Diesel,Manual,800,6493,2023-11-24,2024-10-07,First,28210,7,3,13.736122939922982,Worn Out,Good,New,0
Motorcycle,37956,Average,0,3,Electric,Automatic,1000,143432,2023-09-23,2025-08-11,Second,21658,3,3,10.00713008268694,Worn Out,New,New,0
Bus,44751,Poor,3,3,Diesel,Automatic,1000,7755,2024-01-23,2026-01-24,Second,29066,10,1,16.24308027793596,Good,Good,New,1
Bus,41951,Good,1,7,Petrol,Automatic,1000,104771,2023-06-15,2024-09-23,Third,14615,5,1,15.679092424869829,New,Worn Out,New,1
Motorcycle,45495,Poor,1,6,Diesel,Manual,800,88476,2023-11-24,2026-02-03,Second,19785,1,2,17.481080313313978,Worn Out,Good,Weak,1
SUV,63280,Average,3,2,Diesel,Automatic,800,28975,2023-07-14,2024-05-01,First,13081,6,0,10.73770289647689,Worn Out,Good,Good,1
Motorcycle,79936,Average,0,10,Electric,Automatic,1500,15052,2023-04-30,2025-10-12,First,23551,10,3,16.22524022193386,Worn Out,New,Weak,1
Bus,74528,Poor,1,7,Electric,Automatic,2000,108851,2023-06-12,2025-08-19,Second,21870,5,1,13.427150415825206,Worn Out,Good,New,0
Car,34005,Poor,0,2,Diesel,Manual,2500,71423,2023-12-10,2024-06-22,Second,10301,6,3,13.85904926087158,Good,Worn Out,Weak,1
Car,49957,Good,5,7,Electric,Automatic,800,42971,2023-10-25,2025-11-20,Third,27358,8,2,17.03695635141876,Worn Out,New,Good,1
Motorcycle,36652,Good,5,9,Electric,Automatic,2000,88775,2023-10-27,2025-02-17,Second,14164,9,0,19.18580254211249,Good,New,Weak,1
